"Phylostratum"	"GeneID"	"TP1"	"TP2"	"TP3"	"TP4"	"TP5"	"TP6"	"TP7"
1	"at4g30550"	4.50630906856244	4.64135754441606	4.14963045989665	4.19069309595925	4.13867494990993	3.98111187239791	4.35713227878954
1	"at4g30560"	2.32799581449531	2.45305322066682	1.99951932292259	2.04564359321188	1.9588741656252	1.98652470070753	2.1811861653733
1	"at4g30580"	5.39675237886579	5.27107412123421	5.35290617747858	6.19534329741257	6.0675628880743	6.04174860052736	5.52342920195029
1	"at4g30610"	3.76834138097853	3.69840055555299	3.7666604069978	3.93564370291748	3.84173795440152	3.68990182344945	3.33965246356099
1	"at4g30690"	4.85478752016546	5.03363283585726	4.93847678778602	5.99648238646133	5.76559007665159	5.71816286254776	5.19933139434793
1	"at4g30700"	1.87632420180633	1.99322763585313	1.92889523921346	2.03228684288359	1.94960219554855	1.95222806935409	1.86309567313329
1	"at4g30710"	2.04626377732406	2.08908665140412	2.03532130461699	2.16464431546431	2.07350007333972	2.02678110851368	1.95768938662748
1	"at4g30720"	5.27828066555304	5.04534228399826	5.44582455163337	6.90907008298605	6.72952238435984	7.20541470669817	5.48353699061246
1	"at4g30790"	3.93560016407734	3.84165093200033	3.82300393659967	4.18906813839479	4.06444863164186	4.39575732150396	3.9169020395461
1	"at4g30800"	4.10715538999372	4.14795167477412	4.00344579467233	4.02423669912767	4.12513850845177	4.02344881265621	3.88518533594134
1	"at4g30810"	6.49782333937419	6.69871935996033	6.03257377053557	6.261582768062	5.98181700278677	5.89962630343158	6.27954386008721
2	"at4g30840"	4.1758117653797	4.05908287524417	4.51730246122028	4.62684297167722	4.84101913560262	4.65350059810256	4.23126227549461
1	"at4g30850"	4.55708057567574	4.26507483449113	4.30675193971045	3.50595054562753	3.27438863365647	2.966559052505	3.52088490332391
1	"at4g30860"	2.99799436168209	2.99422563626759	2.90984990497496	3.20186945450812	3.09395573983209	3.21047711934737	2.58714743871431
1	"at4g30870"	2.87885610390052	2.86964885344406	2.84615016915009	2.90151431548713	2.80693700093494	3.02642648606711	2.84487952507127
1	"at4g30890"	6.2462583196096	6.47611898783561	6.24397538992745	6.3805356143358	6.30078377864797	6.31934000069938	6.1923105155686
1	"at4g30910"	5.31878958104497	5.19970825489009	5.123883235994	3.74123576254871	3.70252241556241	3.65466188646192	4.46467491127121
1	"at4g30920"	9.67486306676936	9.41025231290936	9.43847482357985	8.96459746493877	8.87393337228198	8.93818976164149	8.95990200304463
1	"at4g30930"	6.35446282053338	6.09538911559209	6.46684995066961	6.93433871181705	6.89335215935371	6.7145010944327	6.32967603277596
1	"at4g30935"	4.81270772270326	4.78169936135873	4.99594253834338	4.78034378445743	4.83319188081229	4.66424842219286	5.11813236481729
1	"at4g30950"	9.01383440664408	8.64839438260722	9.63549491091766	11.2779091075761	11.4340527045164	11.0827397086282	9.08853027403508
1	"at4g30960"	8.96573848428542	9.77779529469447	9.16536156688092	9.27542008086998	9.60976467844286	9.20045251687724	10.0758760951163
1	"at4g30980"	2.2565715295221	2.22580357979198	2.20334904879288	2.10724156841375	2.06547969260094	1.53324844712832	1.83183345585093
