"Phylostratum"	"GeneID"	"dry"	"imbibed"	"testa rupture"	"radicle"	"first root"	"greening"	"opening"
1	"at4g35570"	22.5034272378972	26.4283325795629	22.4576930948787	19.9901745823137	18.4241565105211	17.4190797106756	15.6110138817287
1	"at4g35580"	19.8857145764991	13.6625243939432	9.01922517791359	8.82920271242828	8.57646820128176	9.80025304189018	10.7264479248344
2	"at4g35590"	3.12662746438489	3.38620543123326	2.84099409586891	2.8397068413	2.84830801382633	3.14818466127025	3.10103827630462
1	"at4g35600"	7.80865189813715	5.10302307962853	5.76591672230997	6.42799214778242	6.4500551675036	7.57775239401849	7.7342818165766
1	"at4g35620"	3.03737000893197	2.39698409035512	3.03531238110539	3.79581934958363	4.50823118581743	7.19339170848871	4.15430603781698
1	"at4g35630"	9.02654257574064	10.3801136417605	10.8257156913558	10.688248124968	10.185751355365	10.8203405432706	10.8019172776178
1	"at4g35640"	5.25077666329458	9.57092037771095	7.954160463375	7.14591374535815	6.11955253727327	5.12682090139081	5.0772372166598
1	"at4g35650"	2.81887922453973	2.68715958006326	2.51371774864353	2.49609786614656	2.53165005911637	2.57399663348347	2.58005681140286
11	"at4g35700"	3.83593781645502	2.76028200267011	2.76769602302675	2.95422832620879	2.87794263039626	2.80571862421625	2.9319188372536
1	"at4g35730"	4.77686354840518	5.62602904209369	4.24849588247055	5.34135213961354	5.99464990118786	11.512709463542	6.37988388384615
1	"at4g35740"	6.80948173555567	7.54821578511211	6.68214829340069	5.89631391064577	5.33490100317741	5.45309012671617	4.77335565522242
1	"at4g35750"	17.9172418914037	11.5599292789326	14.1651011635378	17.0054545791356	18.4074239167803	16.8037268359244	16.2722611550917
1	"at4g35760"	6.58261581786803	7.80208743761681	8.80351703203516	9.98876050558018	10.7917991647575	10.8242938119293	8.52719944143057
1	"at4g35770"	19.3786365927231	5.94583529563748	12.6916317927757	18.2071347666027	21.9271388000424	23.3789597509845	20.9892178296914
1	"at4g35780"	17.3073007403716	10.7603405538207	8.89014838991004	9.51656877746279	7.93303822188034	9.02054854101371	12.9859966152599
6	"at4g35783"	3.14701233480799	3.57955934964305	5.10952082359187	5.18232502037984	3.64566668899587	3.75978761039225	6.80659057932498
1	"at4g35790"	15.6570155263283	12.9519507519757	12.0429241677067	12.6608746325002	13.3150813090357	14.2030447561757	15.0037251345116
1	"at4g35800"	20.4682307817672	22.2263041300773	16.2817571436805	15.8975017955708	15.0477686308705	15.2409507744292	14.9699534831266
1	"at4g35810"	3.46115487816194	2.92898674964357	2.81462034178973	3.11871740717182	3.10387114576504	2.95841169561406	3.12310916904938
1	"at4g35820"	2.9358776233171	2.28039724979701	2.27196220200812	2.24993501614086	2.25369768059425	2.35625906163268	2.37023565047932
1	"at4g35830"	23.4949995229481	18.7564860701957	14.3193986292268	15.414360869639	17.2313420814368	18.5108362443505	19.3312742546929
1	"at4g35840"	5.4847106036822	6.01685393070532	5.96236970055514	6.33817356298345	7.0993494708917	6.76410239765109	5.74376808929347
1	"at4g35860"	19.5570382823627	13.2129786791991	13.1660088422546	12.084442393862	14.7665834905801	12.5803268472801	14.0351978877168
2	"at4g35870"	9.48943044906461	7.93283110450823	7.06684777837078	6.99311792385111	6.88233125936423	6.84652140487776	7.18692185798686
1	"at4g35890"	14.8126822559895	20.481157306554	19.8854480928961	18.3753501127608	18.6549251526323	18.0117048035338	17.4411266631893
5	"at4g35900"	5.52289040815514	5.45592192748261	4.58741629339493	5.35825410548891	6.86766023630645	8.31197798609483	10.1546938036851
1	"at4g35910"	11.8322524465952	12.1480218213164	9.92399494250423	8.55533887106032	7.84540903457405	7.24754975900663	6.1503570509767
2	"at4g35920"	15.962918074431	7.94736166804701	10.367037874198	10.9795396916109	10.368109823839	11.3775524607722	13.7712107487709
1	"at4g35950"	4.68108241936907	9.79371694282687	14.7111640285861	14.5796447967766	15.2983183153695	15.3259878998331	13.6215140687031
1	"at4g35970"	4.49170495999268	2.87422897809314	3.84661338139712	5.63586934610431	3.2582229657761	3.19921104415132	4.9311347147064
1	"at4g35985"	3.03766687700733	3.41730811946225	4.3815935649729	4.82946205890958	5.57451322937606	7.96846221050895	8.58089917858904
1	"at4g35987"	3.86403278053375	5.96794952309631	9.66515141063953	9.61590182470001	9.18894670378393	8.77387103081052	7.56021449576432
1	"at4g36020"	15.1151843196189	20.6467218528576	21.1072199380009	19.3518466007793	16.0235417933932	14.3515584103697	12.7732286649624
2	"at4g36030"	2.85267949637694	3.14019721190726	3.69298311596223	4.03305384354857	4.4251647456163	5.97536979802439	6.30704838064609
