"Phylostratum"	"GeneID"	"0d"	"1d"	"1.5d"	"2d"	"2.5d"	"3d"	"3.5d"
1	"at1g11660"	77.8306076540911	78.4716700587001	76.9660730615235	77.6117440132996	77.4581263123791	78.4107437283997	76.4051923908639
1	"at1g11670"	39.0952983068316	38.4208247527904	38.3319396217691	39.5481768513617	42.8146398665057	43.5732426443336	44.2508703824193
1	"at1g11680"	133.079576417168	131.26573538815	134.063633371793	133.513899964716	133.941793447836	135.823113153935	137.656212695149
1	"at1g11700"	92.8771212818418	90.9454380363159	90.97456421637	92.2483725631505	94.2784261234222	94.7852693529403	97.7090086978925
1	"at1g11720"	53.3518822396947	53.6291008479209	53.7198469865695	53.718642495119	54.5934777891763	54.2657623456814	53.1206215224023
1	"at1g11730"	32.3876834772126	32.5631446665696	32.1312098747761	31.264696062082	30.5000725913976	30.5384898667697	30.5200112763046
1	"at1g11750"	100.006720629459	98.8626929183086	101.208581873958	100.907704091514	101.319038332335	102.564236380694	103.005203679195
6	"at1g11760"	72.3143675522238	73.1127027575287	72.4882521499583	71.0979849269705	73.0131699710967	71.964378631264	71.2205224722347
11	"at1g11765"	13.852598002022	13.8890112651089	13.8423986528885	14.2308962167802	14.3484677429766	14.472844800693	13.9063681273908
1	"at1g11790"	43.2220727138455	44.498221126121	44.1633291100009	45.5974117487833	45.0978694223311	45.4504988871274	45.0359938980989
1	"at1g11840"	62.9598570721171	62.7856879843596	62.1927760931041	61.150567855888	61.6138209699704	60.270331197694	60.9005546415296
