"Phylostratum"	"GeneID"	"Zygote"	"Quadrant"	"Globular"	"Heart"	"Torpedo"	"Bent"	"Mature"
1	"AT2G03120"	37.5831905910076	41.0219963799911	51.0330332431847	51.0295548285501	57.6690803030532	76.1524184842477	42.1407564478855
2	"AT2G03150"	26.7080964690485	27.7647310323727	28.2405961162296	26.4279550779094	25.6918185693423	25.5264897390926	27.1762695821189
1	"AT2G03160"	27.5421326824921	27.46345731331	26.8078636858665	27.5644774465253	28.3279626429435	27.7305742764192	27.7980778741984
1	"AT2G03170"	28.0583604581593	26.1802632817166	28.0754461246834	29.4226750534346	28.234242793105	27.202169327096	27.8280739973143
1	"AT2G03190"	28.6944414024738	30.1039895146806	31.0307598537322	30.3880656804608	31.6035542906174	30.170444262556	28.8444591646299
1	"AT2G03200"	30.3678229265781	32.3126117483561	37.5867880378199	31.5269155849411	31.9130883337856	35.7861453079261	32.2190737452212
2	"AT2G03220"	30.8768615989385	31.1411492305599	32.5534473750477	31.1830890323585	30.2736442652681	30.639687994495	32.6142594887574
1	"AT2G03240"	31.0411502815215	31.3254474205876	37.6739924749156	38.8516486394078	35.0068653266756	33.1357977571085	29.0780612747824
2	"AT2G03250"	31.1522451357843	31.6028439511383	32.3313667821204	31.9242507351386	30.6903797940006	29.4233166128498	29.6544781710958
1	"AT2G03260"	33.8238012352249	37.1610873360832	37.2393584934005	36.2644281769339	36.0288028665955	33.704831196729	31.3540810389971
1	"AT2G03290"	32.3368520422134	45.7056407787923	57.4175818369252	32.3958581303228	29.3712425528782	29.9529284511548	27.7878583125796
1	"AT2G03340"	29.8854035073981	28.4309910555366	27.5950234535142	27.3444620919849	28.1761064751679	28.3653545562187	39.6735021267344
1	"AT2G03380"	29.1563181283234	30.303397700588	33.2237696837671	28.6583922019362	28.9821235384849	32.0559505552401	30.0814495794335
1	"AT2G03410"	28.0383556579197	26.1376009744582	27.1632523273632	27.173294662223	26.6154672681131	26.8996942845081	30.0573661836828
1	"AT2G03480"	29.3728781940075	28.8910624501765	29.661581653715	29.5004637166944	28.242840241378	29.3141800226443	28.1230683710011
2	"AT2G03500"	29.4245005548098	30.8961269304099	33.1726499845882	32.1061886557717	30.7530048515588	30.2685379131533	29.8610773348853
1	"AT2G03620"	40.9624355477064	40.2708269594753	40.5201323418372	36.2377723929052	35.1003389157427	39.4010221187217	57.6105094231946
2	"AT2G03640"	95.5380545018581	99.2556035999983	67.7564980721406	71.8713298680357	79.0464483262847	54.9952334298164	74.9443344489762
1	"AT2G03710"	28.9300532007807	29.2565925425365	29.945740788967	28.1214958990449	27.8862411163642	29.112409149708	29.414139997627
1	"AT2G03820"	26.2525388886485	25.9597854786976	26.8444131673613	26.0868898951178	25.5614282327886	25.5974563892587	29.0339533012644
1	"AT2G03880"	27.1212419663997	28.4306578379748	27.4061176363964	26.8012746245398	27.2607336493353	27.2626813923356	27.4511698676031
1	"AT2G03890"	30.5526103582002	29.8895754268942	30.7717898455712	30.5027452207174	30.3127512294744	30.7798106800545	30.0686677789356
1	"AT2G04032"	26.8876145297421	26.2848943539821	26.4302132303166	26.805601767168	25.4706499131844	25.838478805843	26.1620954091984
1	"AT2G04060"	28.6635464989942	27.7304289094129	29.0389403938918	28.1160462174183	27.8585150196488	29.9234183007223	29.923944567854
2	"AT2G04170"	29.8108890223019	29.8950405987348	29.8614742469289	29.4913541449015	28.1247525678005	28.281586840204	30.247735973127
1	"AT2G04240"	28.5775657833203	27.0975873132646	25.548409570852	24.8814668619035	26.1992178795475	31.0233494484396	38.4201746482236
1	"AT2G04550"	36.611879615775	38.6480920486381	38.3540986597261	37.0135007260864	39.700320515079	39.5387006867955	44.9943509676493
1	"AT2G04660"	28.9561536119699	28.2018567846161	28.4056988894834	29.1365786684024	28.9312908163462	29.6969372747427	29.558117519558
